,price,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options_laundry on site,laundry_options_no laundry on site,laundry_options_w/d hookups,laundry_options_w/d in unit,parking_options_attached garage,parking_options_carport,parking_options_detached garage,parking_options_off-street parking,parking_options_street parking
260,665,329,0,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
261,0,778,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
262,920,853,2,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
263,981,540,1,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
264,706,555,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
265,850,650,2,2.0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0
266,795,491,1,1.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
267,955,900,2,2.0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0
268,845,720,1,1.0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
269,1205,970,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
270,979,991,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
271,1340,970,2,0.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
272,1200,900,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
273,1301,1042,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
274,1451,978,2,2.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
275,856,418,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
276,733,455,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
277,1250,960,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
278,1084,800,1,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
279,1605,1107,3,2.0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
280,1411,967,2,2.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
281,1278,1190,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
282,1900,1257,3,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
283,1325,1204,3,2.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
284,940,640,1,1.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
285,849,470,0,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
286,1074,716,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
287,1540,1112,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
288,1204,805,2,2.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
289,1192,741,1,1.0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
290,1005,800,1,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
291,1052,779,2,1.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
292,1170,1107,2,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
293,1100,476,0,1.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
294,1262,772,1,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
295,1140,900,2,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
296,1485,1382,3,2.0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
297,1065,720,1,1.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
