,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options
304,1150,apartment,934,2,2.0,0,0,1,0,0,0,w/d in unit,carport
305,875,apartment,555,1,1.0,1,1,1,0,0,0,laundry in bldg,carport
306,1396,apartment,983,2,2.0,0,0,1,0,0,0,no laundry on site,None
307,1019,apartment,964,2,2.0,0,1,1,0,0,0,w/d in unit,carport
308,679,apartment,240,0,1.0,0,0,1,0,0,0,no laundry on site,None
309,1297,apartment,1078,2,2.0,0,0,1,0,0,0,no laundry on site,None
310,773,apartment,676,1,1.0,0,0,1,0,0,0,no laundry on site,None
311,955,apartment,900,2,2.0,1,1,1,0,0,0,laundry on site,off-street parking
312,1145,apartment,1008,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
313,1403,apartment,1050,2,2.0,0,0,1,0,0,0,no laundry on site,None
314,994,apartment,900,2,2.0,0,0,1,0,0,0,no laundry on site,None
315,1150,apartment,961,2,2.0,1,1,1,0,0,0,w/d in unit,carport
316,920,apartment,456,1,1.0,0,0,1,0,0,0,no laundry on site,None
317,1438,apartment,1006,2,2.0,0,0,1,0,0,0,no laundry on site,None
318,1678,apartment,1069,3,2.0,1,1,1,0,0,0,w/d in unit,detached garage
319,1169,apartment,341,0,1.0,1,1,0,1,0,0,w/d in unit,detached garage
320,1250,apartment,941,2,2.0,1,1,1,0,0,0,laundry on site,None
321,850,apartment,600,1,1.0,1,1,1,0,0,0,laundry on site,off-street parking
322,1092,apartment,825,1,1.0,0,0,1,0,0,0,no laundry on site,None
323,905,apartment,660,1,1.0,0,0,1,0,0,0,no laundry on site,None
324,1204,apartment,979,2,2.0,1,1,1,0,0,0,w/d in unit,carport
325,2750,apartment,650,1,1.0,1,1,0,0,0,1,no laundry on site,None
326,1285,apartment,1013,2,2.0,0,0,1,0,0,0,no laundry on site,None
327,985,apartment,658,1,1.0,1,1,1,0,0,0,w/d in unit,carport
328,1105,apartment,605,1,1.0,1,1,0,0,0,0,w/d in unit,None
329,1459,apartment,1068,2,2.0,1,1,1,0,0,0,w/d in unit,carport
330,1034,apartment,771,2,1.0,1,1,1,0,0,0,laundry on site,off-street parking
331,1425,apartment,846,2,2.0,0,0,1,0,0,0,no laundry on site,None
332,1,apartment,1382,2,2.5,1,1,1,0,0,0,w/d in unit,None
333,1355,apartment,1088,2,1.0,1,1,1,0,0,0,w/d in unit,carport
334,1299,apartment,1043,2,2.0,1,1,1,0,0,0,w/d in unit,carport
335,1140,apartment,710,1,1.0,1,1,1,0,0,0,w/d in unit,carport
336,1065,apartment,790,1,1.0,1,1,1,1,0,0,w/d in unit,carport
337,1250,apartment,960,2,2.0,1,1,1,0,0,0,w/d in unit,carport
338,1150,apartment,841,2,2.0,1,1,1,0,0,0,w/d in unit,carport
339,1453,apartment,1006,2,2.0,1,1,1,0,0,0,w/d in unit,carport
340,1157,apartment,1152,2,2.0,1,1,1,0,0,0,w/d in unit,carport
341,1050,apartment,680,1,1.0,0,0,1,0,0,0,no laundry on site,None
342,1067,apartment,942,2,2.0,1,1,1,0,0,0,w/d in unit,carport
343,1070,apartment,814,1,1.0,0,0,1,0,0,0,no laundry on site,None
344,1054,apartment,670,1,1.0,1,1,1,0,0,0,no laundry on site,None
345,951,apartment,800,1,1.0,1,1,1,0,0,0,w/d in unit,carport
346,1085,apartment,731,1,1.0,1,1,1,0,0,0,w/d in unit,carport
347,1227,apartment,961,2,2.0,1,1,1,0,0,0,no laundry on site,None
348,1049,apartment,670,1,1.0,1,1,1,0,0,0,no laundry on site,None
349,1385,apartment,1006,2,2.0,0,0,1,0,0,0,no laundry on site,None
350,1178,apartment,676,1,1.0,1,1,1,0,0,0,w/d in unit,attached garage
